timestamp;lat;lon;alt
644492204;469475379;87125654;1498366
644983232;469475380;87125654;1498355
645489953;469475380;87125654;1498341
645984889;469475381;87125656;1498281
646489504;469475382;87125659;1498221
646983150;469475383;87125661;1498161
647489039;469475383;87125663;1498104
647981438;469475384;87125665;1498046
648492133;469475385;87125667;1497987
648984172;469475385;87125668;1497926
649490647;469475385;87125670;1497868
649984865;469475386;87125671;1497807
650490097;469475386;87125672;1497750
650984370;469475387;87125673;1497696
651491278;469475387;87125675;1497632
651984130;469475382;87125667;1497573
652488310;469475380;87125662;1497544
652984133;469475386;87125666;1497542
653491242;469475397;87125675;1497697
653984764;469475403;87125695;1498063
654494595;469475394;87125711;1498610
654982138;469475382;87125709;1499208
655491243;469475371;87125689;1499841
655984131;469475364;87125662;1500482
656493132;469475361;87125644;1501191
656980214;469475364;87125636;1501884
657492030;469475367;87125639;1502583
657985323;469475367;87125650;1503280
658494736;469475364;87125658;1503978
658982218;469475362;87125662;1504676
659492130;469475363;87125663;1505353
659985285;469475366;87125664;1506052
660491258;469475369;87125665;1506778
660985128;469475370;87125667;1507495
661486979;469475370;87125670;1508237
661982333;469475373;87125676;1509374
662494236;469475370;87125683;1510846
662985762;469475361;87125682;1512280
663491388;469475352;87125675;1513720
663985185;469475348;87125670;1515162
664490453;469475350;87125667;1516612
664982139;469475357;87125670;1518061
665492236;469475363;87125674;1519520
665979629;469475367;87125674;1520975
666494129;469475368;87125669;1522189
666986131;469475371;87125663;1522724
667488945;469475376;87125660;1522761
667986128;469475380;87125663;1522843
668494192;469475377;87125670;1523405
668987369;469475366;87125676;1524632
669494227;469475357;87125680;1526077
669986941;469475353;87125678;1527500
670490919;469475355;87125671;1528941
670988264;469475358;87125663;1530383
671493491;469475363;87125660;1531822
671985790;469475365;87125659;1533276
672494846;469475365;87125659;1534749
672984712;469475363;87125657;1536259
673492135;469475362;87125655;1537754
673986134;469475363;87125654;1539251
674492141;469475364;87125653;1540733
674984002;469475364;87125653;1542202
675493555;469475365;87125654;1543675
675987172;469475367;87125652;1545155
676492790;469475369;87125652;1546629
676984154;469475369;87125653;1548113
677494152;469475369;87125651;1549604
677986140;469475370;87125648;1551079
678496132;469475371;87125646;1552558
678988227;469475372;87125646;1554027
679490488;469475373;87125644;1555480
679984613;469475373;87125642;1556943
680496856;469475373;87125639;1558406
680984316;469475374;87125637;1559867
681494215;469475374;87125634;1561280
681989191;469475374;87125633;1562591
682493385;469475384;87125637;1563664
682988463;469475411;87125677;1564555
683494729;469475399;87125718;1565283
683983177;469475354;87125705;1565801
684497033;469475321;87125647;1566264
684988846;469475291;87125576;1566594
685492139;469475250;87125498;1566859
685988567;469475192;87125403;1567029
686494138;469475111;87125286;1567133
686989992;469475004;87125137;1567216
687495180;469474869;87124946;1567294
687985960;469474704;87124708;1567361
688492133;469474507;87124417;1567415
688988664;469474271;87124065;1567504
689492142;469473989;87123644;1567606
689988179;469473657;87123150;1567683
690493980;469473276;87122586;1567734
690989940;469472847;87121955;1567808
691495448;469472355;87121247;1567822
691988136;469471765;87120432;1567717
692498860;469471071;87119512;1566429
692981760;469470345;87118524;1564216
693495763;469469632;87117469;1563284
693988164;469468944;87116399;1563234
694493331;469468275;87115352;1563574
694990346;469467579;87114397;1563957
695496128;469466824;87113576;1564090
695988131;469465982;87112979;1564368
696493617;469465074;87112683;1565024
696989225;469464158;87112682;1565853
697490721;469463276;87112855;1566631
697988506;469462424;87113082;1567224
698498077;469461571;87113266;1567090
698987938;469460696;87113270;1566627
699492142;469459828;87113005;1566216
699989132;469459026;87112447;1566139
700496518;469458339;87111643;1566307
700989221;469457802;87110635;1566662
701496132;469457448;87109482;1567124
701985572;469457296;87108251;1567671
702497774;469457349;87107012;1568252
702989270;469457606;87105836;1568914
703496630;469458048;87104790;1569533
703989134;469458641;87103919;1570035
704495253;469459328;87103217;1570359
704989132;469460068;87102644;1570588
705495492;469460839;87102157;1570703
705989129;469461633;87101734;1570771
706489843;469462445;87101371;1570854
706990129;469463271;87101071;1570840
707492986;469464110;87100840;1570641
707988330;469464967;87100701;1570504
708497129;469465834;87100660;1570203
708985638;469466708;87100753;1569784
709493396;469467580;87101007;1569400
709989129;469468426;87101441;1569148
710494406;469469221;87102048;1569022
710984158;469469951;87102812;1569034
711495132;469470610;87103701;1569063
711989131;469471189;87104703;1569177
712493926;469471683;87105800;1569359
712989130;469472087;87106976;1569560
713492999;469472394;87108216;1569756
713988443;469472596;87109500;1569954
714497332;469472678;87110817;1570352
714988133;469472653;87112143;1570650
715488786;469472510;87113452;1570964
715990730;469472255;87114709;1571253
716498276;469471901;87115888;1571449
716985992;469471460;87116973;1571613
717495776;469470943;87117963;1571700
717989485;469470355;87118851;1571772
718497175;469469704;87119629;1571807
718990137;469468998;87120293;1571787
719496131;469468246;87120835;1571783
719985725;469467457;87121248;1571784
720498214;469466645;87121524;1571693
720987735;469465819;87121659;1571579
721493593;469464991;87121649;1571441
721990133;469464171;87121492;1571308
722498134;469463374;87121192;1571225
722986194;469462609;87120760;1571167
723496132;469461885;87120208;1571145
723987151;469461208;87119544;1571097
724494135;469460588;87118772;1571075
724987623;469460028;87117903;1570945
725493413;469459543;87116941;1570848
725987250;469459140;87115907;1570794
726499323;469458823;87114816;1570724
726987245;469458593;87113682;1570644
727496130;469458450;87112515;1570595
727990405;469458395;87111328;1570464
728496139;469458434;87110133;1570431
728982876;469458563;87108945;1570380
729497442;469458785;87107783;1570304
729987541;469459099;87106662;1570183
730498768;469459503;87105602;1570045
730990136;469459994;87104616;1569892
731496129;469460567;87103719;1569774
731986210;469461215;87102924;1569731
732498140;469461925;87102244;1569689
732987303;469462686;87101693;1569695
733489151;469463484;87101277;1569742
733986624;469464309;87100999;1569773
734498433;469465154;87100857;1569807
734990694;469466013;87100853;1569800
735497597;469466879;87100999;1569744
735990132;469467733;87101312;1569699
736498131;469468553;87101799;1569708
736990237;469469325;87102435;1569629
737496470;469470037;87103208;1569534
737982386;469470680;87104104;1569434
738497136;469471244;87105111;1569309
738989132;469471717;87106217;1569242
739496397;469472088;87107404;1569240
739987294;469472354;87108652;1569282
740496288;469472517;87109940;1569332
740986863;469472575;87111249;1569382
741494132;469472527;87112562;1569422
741990135;469472373;87113858;1569395
742494131;469472101;87115111;1569467
742990231;469471711;87116293;1569652
743496163;469471221;87117379;1569882
743990283;469470652;87118359;1570128
744500128;469470015;87119226;1570345
744992519;469469322;87119975;1570390
745496767;469468577;87120593;1570398
745990531;469467793;87121075;1570366
746499132;469466981;87121412;1570273
746986227;469466152;87121604;1570194
747497269;469465320;87121645;1570164
747987244;469464497;87121548;1570125
748498274;469463689;87121313;1570088
748991882;469462903;87120941;1570054
