timestamp;timestamp_sample;time_utc_usec;device_id;lat;lon;alt;alt_ellipsoid;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;vel_ned_valid;satellites_used;selected_rtcm_instance
654494595;0;1,68216E+15;11141125;469475394;87125711;1498610;1545928;0.143;0.31012195;0.246;0.46800002;0.57;0.96999997;61;4;0.25800002;-0.24800001;0.072000004;-1.4020001;2.5747988;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
654982138;0;1,68216E+15;11141125;469475382;87125709;1499208;1546525;0.142;0.25061774;0.24700001;0.47100002;0.57;0.96999997;61;4;0.337;-0.31300002;-0.124000005;-1.338;3.5085883;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
655491243;0;1,68216E+15;11141125;469475371;87125689;1499841;1547159;0.142;0.1966663;0.24900001;0.47400004;0.57;0.96999997;61;4;0.47700003;-0.18;-0.44200003;-1.4080001;4.213727;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
655984131;0;1,68216E+15;11141125;469475364;87125662;1500482;1547800;0.148;0.25286976;0.25100002;0.47700003;0.57;0.96999997;61;3;0.374;-0.123;-0.35300002;-1.4230001;4.365728;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
656493132;0;1,68216E+15;11141125;469475361;87125644;1501191;1548509;0.15300001;0.48400772;0.252;0.48000002;0.57;0.96999997;61;3;0.18900001;-0.037;-0.185;-1.483;4.545718;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
656980214;0;1,68216E+15;11141125;469475364;87125636;1501884;1549202;0.15100001;0.45420817;0.254;0.483;0.57;0.96999997;61;3;0.082;0.07700001;-0.028;-1.491;5.217098;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
657492030;0;1,68216E+15;11141125;469475367;87125639;1502583;1549900;0.15200001;0.6168997;0.25500003;0.48600003;0.57;0.96999997;61;3;0.066;-0.021000002;0.062000003;-1.4670001;0.09493701;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
657985323;0;1,68216E+15;11141125;469475367;87125650;1503280;1550598;0.15100001;0.35449904;0.257;0.48900002;0.57;0.96999997;61;3;0.25300002;-0.078;0.24100001;-1.437;1.7444471;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
658494736;0;1,68216E+15;11141125;469475364;87125658;1503978;1551295;0.156;0.56115824;0.25800002;0.49100003;0.57;0.96999997;61;3;0.064;-0.042000003;0.049000002;-1.493;2.0539527;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
658982218;0;1,68216E+15;11141125;469475362;87125662;1504676;1551994;0.14600001;0.56134236;0.26000002;0.49400002;0.57;0.96999997;61;4;0.089;-0.086;0.024;-1.508;2.0539527;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
659492130;0;1,68216E+15;11141125;469475363;87125663;1505353;1552671;0.147;0.5615232;0.261;0.49600002;0.57;0.96999997;61;4;0.049000002;-0.042000003;-0.025;-1.4430001;2.0539527;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
659985285;0;1,68216E+15;11141125;469475366;87125664;1506052;1553370;0.14400001;0.6427042;0.26200002;0.499;0.57;0.96999997;61;4;0.127;0.127;-0.012;-1.457;0.09230156;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
660491258;0;1,68216E+15;11141125;469475369;87125665;1506778;1554096;0.141;0.5641876;0.263;0.50100005;0.57;0.96999997;61;4;0.028;-0.028;-0.006;-1.608;0.1877426;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
660985128;0;1,68216E+15;11141125;469475370;87125667;1507495;1554813;0.15100001;0.5643754;0.26500002;0.504;0.57;0.96999997;61;4;0.021000002;0.019000001;0.009000001;-1.5040001;0.1877426;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
661486979;0;1,68216E+15;11141125;469475370;87125670;1508237;1555555;0.15100001;0.5645728;0.266;0.507;0.57;0.96999997;61;4;0.048;-0.0050000004;0.047000002;-1.7990001;0.1877426;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
661982333;0;1,68216E+15;11141125;469475373;87125676;1509374;1556692;0.148;0.6712281;0.268;0.51000005;0.57;0.96999997;61;4;0.14;0.008;0.14;-2.894;1.1450386;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
662494236;0;1,68216E+15;11141125;469475370;87125683;1510846;1558163;0.15300001;0.451817;0.26900002;0.512;0.57;0.96999997;61;4;0.095000006;-0.080000006;0.051000003;-2.9670002;2.407669;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
662985762;0;1,68216E+15;11141125;469475361;87125682;1512280;1559597;0.15100001;0.37908465;0.27100003;0.51500005;0.57;0.96999997;61;4;0.24200001;-0.238;-0.044000003;-2.976;3.3672867;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
663491388;0;1,68216E+15;11141125;469475352;87125675;1513720;1561037;0.148;0.44944322;0.272;0.517;0.57;0.96999997;61;4;0.215;-0.16100001;-0.14400001;-2.983;3.771143;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
663985185;0;1,68216E+15;11141125;469475348;87125670;1515162;1562479;0.15;0.7610906;0.273;0.51900005;0.57;0.96999997;61;5;0.123;-0.045;-0.11400001;-2.97;4.0885453;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
664490453;0;1,68216E+15;11141125;469475350;87125667;1516612;1563930;0.147;0.583765;0.27400002;0.521;0.57;0.96999997;61;5;0.13700001;0.13100001;-0.039;-3.0400002;5.286607;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
664982139;0;1,68216E+15;11141125;469475357;87125670;1518061;1565378;0.15300001;0.50497574;0.275;0.523;0.57;0.96999997;61;3;0.17600001;0.171;0.039;-3.0360003;0.14358108;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
665492236;0;1,68216E+15;11141125;469475363;87125674;1519520;1566838;0.142;0.7763863;0.27600002;0.52400005;0.57;0.96999997;61;3;0.085;0.07700001;0.035;-3.0830002;0.3564568;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
665979629;0;1,68216E+15;11141125;469475367;87125674;1520975;1568293;0.142;0.72422785;0.277;0.526;0.57;0.96999997;61;3;0.059000004;-0.004;-0.059000004;-2.9880002;6.2320843;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
