timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
652108779,652106877,46.94753659245247,8.712563280685359,1497.6854,1544.9951,0.0,0.7202911,2.3197129,1497.5948,2,124,1,0
652308043,652306744,46.94753653440167,8.712563104138837,1497.6794,1544.9869,0.0,0.72028536,2.3197138,1497.5859,2,144,1,0
652508516,652506611,46.947536618945485,8.712563079872618,1497.6731,1544.9783,0.0,0.7202673,2.3197129,1497.5793,2,164,1,0
652698261,652696484,46.94753682203081,8.712563159253966,1497.6736,1544.9763,0.0,0.72009385,2.3196816,1497.5785,2,181,1,0
652898113,652896351,46.947537199392684,8.712563299259605,1497.6825,1544.9827,0.0,0.72008884,2.3196828,1497.5785,2,201,1,0
653107990,653106211,46.94753772769843,8.712563506177522,1497.721,1545.0182,0.0,0.72023034,2.3197126,1497.5785,2,222,1,0
653307526,653306078,46.947538276309345,8.712563826347813,1497.7892,1545.0834,0.0,0.7217811,2.32006,1497.5785,2,242,1,0
653507789,653505950,46.947538845770076,8.71256437187961,1497.8872,1545.1781,0.0,0.7215358,2.3200197,1497.5785,2,6,1,0
653707265,653705811,46.94753928716514,8.71256512768449,1498.0139,1545.3016,0.0,0.7213262,2.3199832,1497.5785,2,26,1,0
653907419,653905678,46.947539424832854,8.712565992690422,1498.1716,1545.456,0.0,0.7211575,2.3199527,1497.5785,2,46,1,0
654107605,654105545,46.94753925635453,8.712566788830628,1498.3667,1545.648,0.0,0.72100115,2.3199234,1497.5785,2,66,1,0
654306867,654305412,46.94753886896271,8.712567377637955,1498.594,1545.8721,0.0,0.72087896,2.3198996,1497.5785,2,86,1,0
654507136,654505279,46.94753836535352,8.712567698368453,1498.8379,1546.1119,0.0,0.7207534,2.319881,1497.5785,2,106,1,0
654706563,654705146,46.947537850380186,8.712567661577191,1499.0823,1546.3529,0.0,0.7206575,2.319861,1497.5785,2,126,1,0
654906389,654905012,46.94753735966559,8.712567276956777,1499.3263,1546.5934,0.0,0.7205891,2.3198454,1497.5785,2,146,1,0
655106682,655104879,46.94753688438444,8.71256659391263,1499.5752,1546.8386,0.0,0.7205115,2.31983,1497.5785,2,165,1,0
655306501,655304746,46.947536459023254,8.712565670123096,1499.8289,1547.0885,0.0,0.7204054,2.3198166,1497.5785,2,185,1,0
655506437,655504613,46.94753608713709,8.712564593022865,1500.0892,1547.3448,0.0,0.7202754,2.319803,1497.5785,2,205,1,0
655706296,655704480,46.94753584125823,8.712563400012971,1500.3556,1547.6072,0.0,0.720143,2.3197913,nan,2,225,0,0
655906120,655904347,46.94753568575102,8.712562250415667,1500.627,1547.8745,0.0,0.7200196,2.319781,nan,2,245,0,0
656105662,656104214,46.947535631739335,8.712561227595092,1500.9032,1548.1471,0.0,0.71992946,2.3197763,nan,2,9,0,0
656305452,656304081,46.94753563353998,8.712560402659902,1501.1869,1548.427,0.0,0.71986103,2.3197725,nan,2,29,0,0
656505723,656503948,46.94753573313111,8.712559793286685,1501.4735,1548.7096,0.0,0.71980846,2.3197672,nan,2,49,0,0
656705160,656703816,46.94753589264708,8.712559433534748,1501.7601,1548.9924,0.0,0.7197805,2.3197632,nan,2,69,0,0
656905479,656903689,46.94753609533776,8.71255927355271,1502.0494,1549.2776,0.0,0.71976566,2.3197577,nan,2,88,0,0
657105270,657103550,46.94753631140376,8.712559322480448,1502.337,1549.5612,0.0,0.7197795,2.319755,nan,2,108,0,0
657304734,657303416,46.94753651128152,8.71255951883293,1502.623,1549.8431,0.0,0.71980876,2.319753,nan,2,128,0,0
657505265,657503284,46.947536672967736,8.71255983458761,1502.905,1550.1205,0.0,0.7198384,2.319749,nan,2,148,0,0
657705080,657703151,46.947536757884876,8.71256024483768,1503.1846,1550.396,0.0,0.7198747,2.3197458,nan,2,168,0,0
657904684,657903021,46.947536777765684,8.712560722754073,1503.464,1550.6715,0.0,0.7199244,2.319745,nan,2,188,0,0
658104657,658102885,46.94753675394874,8.71256120988574,1503.7432,1550.9464,0.0,0.71996236,2.3197424,nan,2,208,0,0
658304579,658302753,46.94753670264804,8.71256162693903,1504.0216,1551.2208,0.0,0.7200084,2.319742,nan,2,228,0,0
658504000,658502620,46.947536629631344,8.712561964679862,1504.3015,1551.4987,0.0,0.72172266,2.3201141,nan,2,248,0,0
658704289,658702487,46.947536567686974,8.712562196197492,1504.5809,1551.7719,0.0,0.72005475,2.3197358,nan,2,12,0,0
658904355,658902354,46.947536555731276,8.712562348069655,1504.8634,1552.0503,0.0,0.72008604,2.319736,nan,2,32,0,0
